"agency_cd","site_no","dateTime","Flow","Flow_cd","GH","GH_cd","tz_cd"
"USGS","12488500",1980-01-01,149,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-02,142,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-03,125,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-04,115,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-05,105,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-06,90,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-07,85,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-08,80,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-09,75,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-10,75,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-11,80,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-12,110,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-13,145,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-14,130,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-15,110,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-16,100,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-17,95,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-18,90,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-19,90,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-20,100,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-21,90,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-22,85,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-23,95,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-24,85,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-25,70,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-26,60,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-27,55,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-28,50,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-29,45,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-30,45,"A",NA,NA,"UTC"
"USGS","12488500",1980-01-31,45,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-01,50,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-02,70,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-03,100,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-04,120,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-05,130,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-06,120,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-07,100,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-08,95,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-09,93,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-10,86,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-11,80,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-12,75,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-13,70,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-14,65,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-15,60,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-16,55,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-17,60,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-18,70,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-19,75,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-20,80,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-21,84,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-22,86,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-23,87,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-24,89,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-25,90,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-26,125,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-27,435,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-28,719,"A",NA,NA,"UTC"
"USGS","12488500",1980-02-29,607,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-01,486,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-02,413,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-03,372,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-04,340,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-05,312,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-06,282,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-07,255,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-08,233,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-09,218,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-10,206,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-11,199,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-12,188,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-13,182,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-14,173,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-15,167,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-16,160,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-17,157,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-18,152,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-19,148,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-20,146,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-21,143,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-22,143,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-23,142,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-24,140,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-25,136,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-26,136,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-27,132,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-28,130,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-29,131,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-30,128,"A",NA,NA,"UTC"
"USGS","12488500",1980-03-31,128,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-01,125,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-02,122,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-03,122,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-04,122,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-05,133,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-06,139,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-07,133,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-08,132,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-09,150,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-10,158,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-11,158,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-12,172,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-13,209,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-14,274,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-15,306,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-16,327,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-17,365,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-18,391,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-19,511,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-20,700,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-21,699,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-22,660,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-23,718,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-24,773,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-25,740,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-26,745,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-27,950,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-28,1000,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-29,1050,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-30,1150,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-01,1100,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-02,1050,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-03,1000,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-04,1100,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-05,1150,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-06,1220,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-07,1050,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-08,935,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-09,827,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-10,739,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-11,675,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-12,706,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-13,762,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-14,746,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-15,683,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-16,620,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-17,597,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-18,622,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-19,633,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-20,735,"A",NA,NA,"UTC"
