dateTime,dateTime,Flow,Flow [m^3/day]
1980-01-01,1980-01-01,149.0,364540.42
1980-01-02,1980-01-02,142.0,347414.36
1980-01-03,1980-01-03,125.0,305822.5
1980-01-04,1980-01-04,115.0,281356.7
1980-01-05,1980-01-05,105.0,256890.9
1980-01-06,1980-01-06,90.0,220192.19999999998
1980-01-07,1980-01-07,85.0,207959.3
1980-01-08,1980-01-08,80.0,195726.4
1980-01-09,1980-01-09,75.0,183493.5
1980-01-10,1980-01-10,75.0,183493.5
1980-01-11,1980-01-11,80.0,195726.4
1980-01-12,1980-01-12,110.0,269123.8
1980-01-13,1980-01-13,145.0,354754.1
1980-01-14,1980-01-14,130.0,318055.39999999997
1980-01-15,1980-01-15,110.0,269123.8
1980-01-16,1980-01-16,100.0,244658.0
1980-01-17,1980-01-17,95.0,232425.1
1980-01-18,1980-01-18,90.0,220192.19999999998
1980-01-19,1980-01-19,90.0,220192.19999999998
1980-01-20,1980-01-20,100.0,244658.0
1980-01-21,1980-01-21,90.0,220192.19999999998
1980-01-22,1980-01-22,85.0,207959.3
1980-01-23,1980-01-23,95.0,232425.1
1980-01-24,1980-01-24,85.0,207959.3
1980-01-25,1980-01-25,70.0,171260.6
1980-01-26,1980-01-26,60.0,146794.8
1980-01-27,1980-01-27,55.0,134561.9
1980-01-28,1980-01-28,50.0,122329.0
1980-01-29,1980-01-29,45.0,110096.09999999999
1980-01-30,1980-01-30,45.0,110096.09999999999
1980-01-31,1980-01-31,45.0,110096.09999999999
1980-02-01,1980-02-01,50.0,122329.0
1980-02-02,1980-02-02,70.0,171260.6
1980-02-03,1980-02-03,100.0,244658.0
1980-02-04,1980-02-04,120.0,293589.6
1980-02-05,1980-02-05,130.0,318055.39999999997
1980-02-06,1980-02-06,120.0,293589.6
1980-02-07,1980-02-07,100.0,244658.0
1980-02-08,1980-02-08,95.0,232425.1
1980-02-09,1980-02-09,93.0,227531.94
1980-02-10,1980-02-10,86.0,210405.88
1980-02-11,1980-02-11,80.0,195726.4
1980-02-12,1980-02-12,75.0,183493.5
1980-02-13,1980-02-13,70.0,171260.6
1980-02-14,1980-02-14,65.0,159027.69999999998
1980-02-15,1980-02-15,60.0,146794.8
