id,source,permeability [m^2],logk_stdev [-],porosity [-],depth to bedrock [m],count,area,coverage [%],cluster
736392,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,2747,69891867.7513504,34.06565180205464,1
736625,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,23,610237.698173523,0.297432957671458,1
736626,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,1770,47595706.37844086,23.198389353809628,1
736686,GLHYMPS,1e-13,2.0,0.22,0.0,3,80209.57183074951,0.0390945532447215,4
736702,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,538,13543469.990478516,6.601156153511196,3
736710,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,139,3991104.0751800537,1.9452844244274488,3
736715,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,1080,30163563.456245422,14.701874236145065,1
736747,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,85,2229563.072624206,1.0867003808360496,3
736748,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,782,20608965.859046936,10.044914773953227,3
736799,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,18,573380.6329193115,0.2794686366167913,1
754750,GLHYMPS,3.019951720402019e-11,1.61,0.01,19.2192995169,731,15880081.994056702,7.740032727729773,2
