id,source,permeability [m^2],logk_stdev [-],porosity [-],depth to bedrock [m],count,area,coverage [%]
736392,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,2747,69891867.7513504,34.06565180205464
736625,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,23,610237.698173523,0.29743295767145805
736626,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,1770,47595706.37844086,23.198389353809628
736686,GLHYMPS,1e-13,2.0,0.22,0.0,3,80209.57183074951,0.039094553244721525
736702,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,538,13543469.990478516,6.601156153511196
736710,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,139,3991104.0751800537,1.9452844244274488
736715,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,1080,30163563.456245422,14.701874236145063
736747,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,85,2229563.0726242065,1.0867003808360496
736748,GLHYMPS,7.943282347242822e-15,1.5,0.01,0.0,782,20608965.859046936,10.044914773953229
736799,GLHYMPS,3.162277660168379e-13,1.8,0.09,0.0,18,573380.6329193115,0.2794686366167913
754750,GLHYMPS,3.019951720402019e-11,1.61,0.01,19.2192995169,731,15880081.994056702,7.740032727729773
