mukey,residual saturation [-],Rosetta porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],Rosetta permeability [m^2],thickness [cm],permeability [m^2],porosity [-],bulk density [g/cm^3],total sand pct [%],total silt pct [%],total clay pct [%],source,id,count,area,coverage [%],cluster
75318,0.2091497458255588,0.465032983435465,7.822354470811851e-05,1.3992029907213306,4.414871072232305e-13,152.0,5.243610795028083e-13,0.2463157894736842,1.1990789473684211,43.73157894736842,31.51842105263157,24.75,NRCS,75318,1,21753.53566741944,0.0106027839196723,6
75322,0.1450748925154877,0.4994989186122468,0.0001087882139209,1.4991920225349609,2.76054537145796e-12,152.0,2.8e-12,0.2906578947368421,0.95,67.92434210526315,24.404605263157897,7.671052631578947,NRCS,75322,3,74996.48824310303,0.0365536697911048,1
75327,0.144439116106418,0.5031865908324142,5.812974849790749e-05,1.5222577751144588,2.918469515411826e-12,160.0,2.8e-12,0.3955000000000001,0.88,52.548125,40.214375,7.237500000000002,NRCS,75327,82,1762201.0842666626,0.8589057707743317,1
75328,0.144439116106418,0.5031865908324142,5.812974849790749e-05,1.5222577751144588,2.918469515411826e-12,160.0,2.8e-12,0.3955000000000001,0.88,52.548125,40.214375,7.237500000000002,NRCS,75328,96,2204836.412475586,1.0746484809233536,1
75334,0.1420509940516161,0.5440582636553642,0.0001001866836407,1.4641203304462052,3.77179123115209e-12,152.0,2.8e-12,0.3201973684210526,0.7907894736842106,68.65,23.613157894736844,7.736842105263157,NRCS,75334,128,2943072.9722442627,1.4344687347201992,1
75339,0.1461698349258647,0.4833269959309879,8.263183335437188e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526316,59.640789473684215,32.964473684210525,7.394736842105262,NRCS,75339,101,2788124.8291549683,1.358946221734375,3
75340,0.1461698349258647,0.4833269959309879,8.263183335437188e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526316,59.640789473684215,32.964473684210525,7.394736842105262,NRCS,75340,101,1963323.2946243288,0.9569337589814644,3
75342,0.1461698349258647,0.4833269959309879,8.263183335437188e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526316,59.640789473684215,32.964473684210525,7.394736842105262,NRCS,75342,2541,65317265.63728333,31.83596746588606,3
75343,0.151733450044002,0.4800835218438242,7.919151483196758e-05,1.499234067581945,1.932453326085032e-12,152.0,1.6125063781397144e-12,0.4353462603878117,0.999702216066482,57.38247922437672,33.6718836565097,8.945637119113574,NRCS,75343,41,1043527.112548828,0.508620421885993,3
75349,0.1461698349258646,0.4833269959309879,8.263183335437188e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526316,59.640789473684215,32.96447368421053,7.394736842105264,NRCS,75349,16,478608.09870147705,0.23327602143946,3
75351,0.1437337572517648,0.4867909905757733,9.373469712324026e-05,1.5088791314635417,2.5103437882697608e-12,136.8125,1.7176459439028662e-12,0.4206578947368421,0.9713752860411898,63.44377002288329,29.756001144164763,6.8002288329519445,NRCS,75351,531,15197674.906845093,7.407424042797956,3
75352,0.1461698349258646,0.4833269959309879,8.263183335437188e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526316,59.640789473684215,32.96447368421053,7.394736842105264,NRCS,75352,814,22850317.61631012,11.13736101963788,3
75356,0.2378815821393513,0.4501369845995769,6.201923879113101e-05,1.3785504849862218,1.859708928763296e-13,152.0,2.093784394744784e-13,0.4780263157894737,1.3148684210526316,26.48421052631579,41.384210526315776,32.131578947368425,NRCS,75356,27,582089.7609024048,0.2837135098891306,6
75357,0.1571053524180091,0.4919839335441109,0.000125847304821,1.483837208640864,2.1287296494219088e-12,152.0,1.5874507866387538e-12,0.4196052631578948,1.026907894736842,69.57105263157895,19.20526315789473,11.223684210526317,NRCS,75357,142,3405158.70879364,1.659691672816354,3
75359,0.157105352418009,0.4919839335441109,0.000125847304821,1.483837208640864,2.1287296494219088e-12,152.0,1.5874507866387546e-12,0.4196052631578947,1.0269078947368422,69.57105263157895,19.20526315789473,11.223684210526317,NRCS,75359,343,8601082.360229492,4.1922112862509815,3
75361,0.1571053524180091,0.4919839335441109,0.000125847304821,1.483837208640864,2.1287296494219088e-12,152.0,1.5874507866387538e-12,0.4196052631578948,1.026907894736842,69.57105263157895,19.20526315789473,11.223684210526317,NRCS,75361,159,4606508.358062744,2.245235601762666,3
75392,0.1598369452262185,0.3992050740906933,0.0001731701301304,1.5646628419063122,9.783199241680568e-13,165.0,2.2912517681770134e-12,0.3255757575757576,1.3960606060606058,72.31393939393939,19.09818181818182,8.587878787878788,NRCS,75392,174,3515133.911956786,1.7132941461562312,1
75394,0.1693749196247048,0.6688266878766187,4.113799235761237e-05,1.4379306216051289,8.270092321972705e-12,152.0,1.5402067587236001e-12,0.6655263157894737,0.4385000000000001,38.934078947368434,44.21328947368421,16.85263157894737,NRCS,75394,66,1337952.697883606,0.6521249495845945,3
75398,0.1904795124553504,0.4397481898755269,7.48561791540443e-05,1.444338383568845,4.833013940111678e-13,152.0,2.411574737900789e-12,0.2277631578947368,1.2294736842105265,46.3578947368421,36.1684210526316,17.473684210526315,NRCS,75398,2,60475.67872619629,0.0294761533818034,1
75403,0.1656219422085638,0.4585590969462734,8.442361604182565e-05,1.4779662520217418,1.1071658803460393e-12,152.0,2.587151199957644e-12,0.2775464396284829,1.1152941176470588,55.13065015479876,32.795046439628486,12.074303405572754,NRCS,75403,2,46191.70877075195,0.0225140737792909,1
75404,0.1853944735791733,0.4688788619394888,8.506431482279355e-05,1.4343194295249249,7.98734069809665e-13,157.625,9.081153164107377e-13,0.4259036377708978,1.132387287151703,52.13372436145509,29.80823819659443,18.058037441950464,NRCS,75404,1,33306.932304382324,0.0162339681994515,5
75413,0.1757521064969074,0.4658462132851608,7.751906242941617e-05,1.4592772187274767,9.369519160136222e-13,152.0,1.773840172107034e-12,0.3388815789473684,1.1089473684210525,51.43618421052632,33.40592105263158,15.157894736842106,NRCS,75413,116,3027687.42804718,1.4757102508155653,3
75414,0.1830889585904873,0.468944458981369,8.826952596418143e-05,1.4367093111630629,8.510774244170179e-13,159.0,9.030411737132049e-13,0.4157210182318541,1.1300249398004816,53.6405280357757,28.92558823529412,17.43388372893017,NRCS,75414,28,675898.8716964722,0.329436547589884,5
75440,0.1399166283415195,0.5373248154874195,9.768200748126298e-05,1.4755225086646095,3.81928080465847e-12,152.0,3.099869952307955e-12,0.3648684210526316,0.8030263157894737,68.1171052631579,25.044078947368423,6.838815789473686,NRCS,75440,7,118167.60140228271,0.057595489906998,1
75462,0.1410324700996444,0.4877306144930661,9.520729736341103e-05,1.5150015752916777,2.689060356471153e-12,152.0,2.800000000000001e-12,0.3268421052631579,0.9622368421052632,64.34868421052633,29.65131578947368,6.0,NRCS,75462,53,1087427.031906128,0.5300174658494541,1
75482,0.1410324700996444,0.4877306144930661,9.520729736341097e-05,1.5150015752916774,2.689060356471151e-12,152.0,2.8e-12,0.3268421052631579,0.9622368421052632,64.34868421052633,29.65131578947368,6.0,NRCS,75482,70,1460877.1444015503,0.7120389499936003,1
75485,0.1410324700996444,0.4877306144930661,9.520729736341097e-05,1.5150015752916774,2.689060356471151e-12,152.0,2.8e-12,0.3268421052631579,0.9622368421052632,64.34868421052633,29.65131578947368,6.0,NRCS,75485,52,1342360.7491531372,0.6542734561920827,1
75506,0.1461598308730537,0.540056693604262,5.032825637372493e-05,1.5083083063674605,4.0458826495101415e-12,152.0,2.8e-12,0.3561842105263158,0.7603947368421053,50.29210526315789,41.20789473684211,8.5,NRCS,75506,93,2865030.6820983887,1.3964305255911704,1
75508,0.1461598308730537,0.540056693604262,5.032825637372493e-05,1.5083083063674605,4.0458826495101415e-12,152.0,2.8e-12,0.3561842105263158,0.7603947368421053,50.29210526315789,41.20789473684211,8.5,NRCS,75508,3,77833.97695922853,0.0379366762224063,1
75511,0.1461598308730537,0.540056693604262,5.032825637372493e-05,1.5083083063674605,4.0458826495101415e-12,152.0,2.8e-12,0.3561842105263158,0.7603947368421053,50.29210526315789,41.20789473684211,8.5,NRCS,75511,412,12666179.433486937,6.17356027425916,1
75514,0.1382209786691701,0.5330998171814378,8.051166994763832e-05,1.4876641833153297,4.00093129027148e-12,152.0,2.567389541448945e-12,0.4673684210526316,0.7918421052631579,63.49473684210525,30.51842105263157,5.9868421052631575,NRCS,75514,33,885866.0207824706,0.4317756039172995,1
75572,0.1965335371395055,0.4521275790900233,6.853547000176596e-05,1.4364176901280192,4.80752400723231e-13,153.76470588235296,1.0281073657745868e-12,0.3314186557475282,1.1978660241685808,42.83646759213024,37.23225556776191,19.931276840107863,NRCS,75572,231,5359053.386390686,2.6120298759061225,5
75586,0.1917369450373715,0.4645762364663735,6.872911815708305e-05,1.4395809261448145,6.235995274454544e-13,153.6875,1.1048041919044186e-12,0.2298064516129032,1.1458064516129032,44.352258064516136,36.128387096774205,19.51935483870968,NRCS,75586,186,4877711.935317993,2.3774216046194927,5
75618,0.1379727186219496,0.3554352943667001,0.0003023685357055,2.362521198907023,3.8184046314956226e-12,152.0,1.1902642790796176e-11,0.1709536662168241,1.5701352339181291,88.96334064327488,9.223793859649122,1.812865497076024,NRCS,75618,93,1764109.6435089114,0.8598360122556631,4
75654,0.1520450298567706,0.5084005331863192,8.035914312516876e-05,1.4791127407789753,2.528628270250581e-12,152.0,1.996303620598763e-12,0.5640542763157894,0.9089268092105264,59.35707236842106,30.70439967105264,9.938527960526317,NRCS,75654,37,822471.0105514526,0.4008765535127433,3
75661,0.1426676409263624,0.501072724368499,9.557879661627864e-05,1.5009134263245003,2.900245753325629e-12,152.0,2.8e-12,0.3278947368421052,0.9235526315789472,65.0657894736842,28.06578947368421,6.86842105263158,NRCS,75661,194,4507495.259750366,2.196976114078752,1
75670,0.1426676409263624,0.501072724368499,9.557879661627864e-05,1.5009134263245003,2.900245753325629e-12,152.0,2.8e-12,0.3278947368421052,0.9235526315789472,65.0657894736842,28.06578947368421,6.86842105263158,NRCS,75670,303,7271957.843811035,3.54438923721137,1
