datetime,time [d],watershed boundary discharge [mol d^-1],net groundwater flux [mol d^-1],snowmelt [m d^-1],snow precipitation [m d^-1],rain precipitation [m d^-1],surface water content [mol],subsurface water content [mol],snow water content [mol],SWE [m],surface air temperature [K],max ponded depth [m],total evapotranspiration [m d^-1],snow evaporation [m d^-1],surface evaporation [m d^-1],transpiration [m d^-1],canopy evaporation [m d^-1],canopy drainage [m d^-1],water to surface [m d^-1],snow to surface [m SWE d^-1],canopy water content [mol],SWE at SNOTEL [m],net groundwater flux [m^3/d],net groundwater flux [m/d],rain precipitation [mm d^-1],snow precipitation [mm d^-1],snowmelt [mm d^-1],watershed boundary discharge [m^3/d],watershed boundary discharge [m/d],total evapotranspiration [mm d^-1],snow water content [m],surface water content [m],subsurface water content [m],canopy water content [m],(Ps_thru-SM-Es) [m/d],total water content [m],(Pr+SM-ET-Q-gw) [m/d],(Pr+Ps-ET-Q-gw) [m/d],(Pr+SM-ET-Q) [m/d],(Pr+Ps-ET-Q) [m/d],(Ps-SM) [m/d],cum_groundwater flux [m],cum_(Pr+Ps-ET-Q-gw) [m],cum canopy mass change [m],cum_snow evaporation [m],cum_snow to surface [m],cum_(Ps_thru-SM-Es) [m],cum_(P-Pt+S-St-Ec-drainage) [m],cum_rain precipitation [m],cum_snow precipitation [m],cum_snowmelt [m],cum_ET [m],cum_overland flux [m],cum_(Pr+SM-ET-Q) [m],cum_(Pr+Ps-ET-Q) [m],cum_(Ps-SM) [m],cum snow mass change [m],cum water mass change [m],water mass error [m],snow mass error [m],SWE [mm],SWE at SNOTEL [mm],-cum_ET [m],cum_P [m],P [m/d],-ET [m/d],-cum_Q [m]
2013-10-01,12318.0,0.0,0.0,0.0,0.0,0.0,311151741758.9,16090733721660.0,0.0,0.0,274.7560136603,1.683957583993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183445433.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02732579012688103,1.4131112047777303,0.00010393186729622054,0.0,1.4405409267719076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010393186729622054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2013-10-02,12319.0,13772685051.04,7.730878427027e-10,9.891012427055e-09,0.0004137653148464,0.006302245144345,322097528135.4,16137202551630.0,4553580079.714,0.0003999019027848,275.6628830313,1.715085077327,2.874583185625e-05,9.99358534154e-06,1.017351005742e-05,1.171075879125e-09,8.577565381405e-06,0.0007623959152479,0.006261933888771,0.0004099051903039,1588762223.862,0.001387383420856,1.3929510679327928e-14,6.78936779203581e-23,6.302245144345,0.4137653148464,9.891012427055e-06,248156.48740612614,0.0012095368615354565,0.02874583185625,0.0003999019027848711,0.028287064711452297,1.4171921637594282,0.00013952736643977983,0.0003999017139499329,1.4460186577401053,0.00506397234196572,0.005477727765799694,0.00506397234196572,0.005477727765799694,0.00041375542383397293,6.78936779203581e-23,0.005477727765799694,0.00024345923373600035,9.99358534154e-06,0.0004099051903039,0.0003999017139499329,-0.0007268021005128051,0.006302245144345,0.0004137653148464,9.891012427055e-09,2.874583185625e-05,0.0012095368615354565,0.00506397234196572,0.005477727765799694,0.00041375542383397293,0.0003999019027848711,0.005477730968197703,-3.2023980090986615e-09,-1.8883493819185984e-10,0.39990190278480003,1.387383420856,-2.874583185625e-05,0.0067160104591914,0.0067160104591914,-2.874583185625e-05,-0.0012095368615354565
2013-10-03,12320.0,14666854606.04,1.879069537346e-09,5.933034393201e-08,4.617203794836e-05,0.003075557863704,326754718029.8,16151827165020.0,4961355686.035,0.0004357133386271,276.0781273079,1.751446364763,0.0001342495742711,9.68658933484e-06,1.632361804381e-05,7.828121373594e-06,0.0001004112455188,0.0003003097926089,0.003005512189873,4.555738508474e-05,1249959301.132,0.001387383420856,3.385710878100901e-14,1.6502256912037204e-22,3.0755578637039998,0.04617203794836,5.9330343932010004e-05,264267.6505592793,0.0012880641082725472,0.1342495742711,0.0004357133386270764,0.028696065776064733,1.4184765181838095,0.00010977321012826672,3.581146540596799e-05,1.4477180705086294,0.0016533035115042845,0.0016994162191087128,0.0016533035115042845,0.0016994162191087128,4.611270760442799e-05,2.3291624704073014e-22,0.007177143984908406,0.00035323244386426705,1.9680174676379997e-05,0.00045546257538863996,0.0004357131793559009,-0.001056862811945885,0.009377803008049,0.00045993735279476,6.9221356359065e-08,0.00016299540612735,0.002497600969808004,0.006717275853470005,0.007177143984908406,0.0004598681314384009,0.0004357133386270764,0.007177143736721847,2.481865589779031e-10,-1.5927117551261041e-10,0.4357133386271,1.387383420856,-0.00016299540612735,0.009837740360843759,0.0031217299016523597,-0.0001342495742711,-0.002497600969808004
2013-10-04,12321.0,14708030807.4,1.084780888767e-09,1.702919766247e-05,0.0,0.0,326619446567.7,16135255160130.0,4712998887.014,0.0004139022900106,277.8639858367,1.77659279556,0.0002637192497631,4.781876072948e-06,2.035779285847e-05,0.0001727298121467,6.584976868498e-05,4.819452517335e-07,4.819452517335e-07,0.0,494644202.7152,0.00128795832982,1.9545601599405403e-14,9.526700616404514e-23,0.0,0.0,0.01702919766247,265009.56409729726,0.0012916802610545466,0.2637192497631,0.0004139022900105128,0.02868418604316462,1.417021141058019,4.344035998148909e-05,-2.1811073735417998e-05,1.4461626697511754,-0.0015383703131551765,-0.0015553995108176467,-0.0015383703131551765,-0.0015553995108176467,-1.702919766247e-05,3.2818325320477527e-22,0.005621744474090759,0.00039667280384575617,2.4462050749327996e-05,0.00045546257538863996,0.0004139021056204829,-0.0011236764711343322,0.009377803008049,0.00045993735279476,1.7098419018829065e-05,0.00042671465589045,0.0037892812308625507,0.005178905540314829,0.005621744474090759,0.0004428389337759309,0.0004139022900105128,0.005621742979267763,1.494822996286893e-09,-1.8439002988325168e-10,0.4139022900106,1.28795832982,-0.00042671465589045,0.009837740360843759,0.0,-0.0002637192497631,-0.0037892812308625507
2013-10-05,12322.0,14537454402.84,-7.6314012477e-10,0.000186597731739,0.0,0.0,326591203179.0,16118943742200.0,2571943271.59,0.0002258717295311,281.5701484896,1.793037655784,0.0003656912827744,1.433934894395e-06,1.268828911103e-05,0.0003324272177159,1.914184105314e-05,2.455963461617e-07,2.455963461617e-07,0.0,273885069.5367,0.0006508745010773,-1.3750272518378378e-14,-6.702005513125283e-23,0.0,0.0,0.186597731739,261936.11536648648,0.001276699997710187,0.3656912827744,0.00022587172953114878,0.02868170566845187,1.4155886490510403,2.4052977774571656e-05,-0.000188031666633395,1.444520279426798,-0.001455793548745587,-0.0016423912804845872,-0.001455793548745587,-0.0016423912804845872,-0.000186597731739,2.6116319807352245e-22,0.0039793531936061725,0.0004207257816203278,2.5895985643722996e-05,0.00045546257538863996,0.0002258704389870879,-0.0011433095048797956,0.009377803008049,0.00045993735279476,0.00020369615075782908,0.00079240593866485,0.005065981228572738,0.0037231119915692415,0.0039793531936061725,0.0002562412020369309,0.00022587172953114878,0.003979352654890356,5.387158167474704e-10,-1.2905440608854644e-09,0.2258717295311,0.6508745010772999,-0.00079240593866485,0.009837740360843759,0.0,-0.0003656912827744,-0.005065981228572738
2013-10-06,12323.0,14607234872.77,2.337536626644e-09,0.0001494519602386,0.0,0.0,326177993741.5,16102183136260.0,864959213.3075,7.596195283222e-05,282.4787951925,1.796347594656,0.0003804831110772,4.586434821664e-07,1.61803843703e-05,0.0003588801096763,4.963973548421e-06,2.078074552161e-07,2.078074552161e-07,0.0,214995834.3474,0.0002110646264174,4.211777705664865e-14,2.052858033591398e-22,0.0,0.0,0.1494519602386,263193.421130991,0.0012828282181902766,0.3804831110772,7.596195283222065e-05,0.02864541702579879,1.4141167087118132,1.8881241076525934e-05,-0.0001499106037207664,1.442856968931521,-0.0015138593690288767,-0.0016633113292674766,-0.0015138593690288767,-0.0016633113292674766,-0.0001494519602386,4.664490014326623e-22,0.0023160418643386957,0.00043960702269685374,2.6354629125889397e-05,0.00045546257538863996,7.59598352663215e-05,-0.001148689093338649,0.009377803008049,0.00045993735279476,0.0003531481109964291,0.00117288904974205,0.006348809446763014,0.002209252622540365,0.0023160418643386957,0.00010678924179833091,7.596195283222065e-05,0.0023160421596133407,-2.952746450124444e-10,-2.1175658991454084e-09,0.07596195283222,0.2110646264174,-0.00117288904974205,0.009837740360843759,0.0,-0.0003804831110772,-0.006348809446763014
2013-10-07,12324.0,14881006878.66,2.754567677292e-09,3.160776596538e-05,0.0,0.003373541671234,329912118463.5,16117987834270.0,259212245.7673,2.276438944585e-05,277.6179146191,1.795367002805,0.000297203228096,2.158956500452e-05,0.0001551973193043,8.203819413831e-05,3.837814964896e-05,0.0002275930861869,0.003228426484869,0.0,1430392668.783,6.138595849353e-05,4.96318500412973e-14,2.419100655341851e-22,3.3735416712340003,0.0,0.03160776596538,268126.25006594596,0.0013068712665539979,0.29720322809599997,2.2764389445851918e-05,0.028973353189305905,1.4155046998520802,0.00012561912604198205,-5.3197330969900004e-05,1.444626436556874,0.001801074942549382,0.001769467176584002,0.001801074942549382,0.001769467176584002,-3.160776596538e-05,7.083590669668473e-22,0.004085509040922698,0.0005652261487388358,4.7944194130409394e-05,0.00045546257538863996,2.27625042964215e-05,-0.0012695451428095088,0.012751344679283,0.00045993735279476,0.0003847558769618091,0.00147009227783805,0.007655680713317012,0.004010327565089747,0.004085509040922698,7.51814758329509e-05,2.2764389445851918e-05,0.004085509784966357,-7.440436591496513e-10,-1.8851494304182614e-09,0.02276438944585,0.06138595849353,-0.00147009227783805,0.013211282032077758,0.003373541671234,-0.000297203228096,-0.007655680713317012
2013-10-08,12325.0,15744985511.9,2.941823005673e-09,2.335411585218e-07,0.000675499781176,0.006093890198192,337877420303.7,16161377375000.0,6090089485.757,0.0005348403521735,274.4331787519,1.806172947199,0.0003669050596634,0.0001633241397326,0.0002022296922016,0.0,1.351227729122e-06,0.0007379994857403,0.006094798869445,0.0006756431744071,1403033649.577,0.002613133118571,5.300581992203604e-14,2.583550957774813e-22,6.093890198192001,0.675499781176,0.0002335411585218,283693.43264684686,0.0013827471034449236,0.3669050596634,0.0005348403521734761,0.029672877367291125,1.4193152312570703,0.00012321641792061868,0.0005120854935159781,1.4496461653944555,0.004344471576242199,0.005019737816259677,0.004344471576242199,0.005019737816259677,0.0006752662400174781,9.667141627443287e-22,0.009105246857182375,0.0006884425666594544,0.00021126833386300942,0.00113110574979574,0.0005348479978123996,-0.0020099479207630303,0.018845234877474998,0.0011354371339707598,0.00038498941812033086,0.00183699733750145,0.009038427816761936,0.008354799141331946,0.009105246857182375,0.0007504477158504291,0.0005348403521734761,0.009105238622547862,8.234634512466199e-09,7.645638923511021e-09,0.5348403521735,2.613133118571,-0.00183699733750145,0.01998067201144576,0.0067693899793680005,-0.0003669050596634,-0.009038427816761936
2013-10-09,12326.0,16651102689.69,3.293314153418e-09,2.520456362506e-07,0.0006473025869738,0.003544968716747,342360987612.9,16179536670710.0,11791938216.26,0.001035584847011,275.9758619891,1.822690577533,0.0002516375670733,0.0001444947645979,6.601024763996e-05,1.028830978694e-06,4.010372385679e-05,0.0004195175502757,0.00351763928183,0.0006454903385049,1278206931.221,0.00518169689993,5.933899375527929e-14,2.8922355012211033e-22,3.5449687167470003,0.6473025869737999,0.00025204563625059995,300019.8682827027,0.001462323607470529,0.25163756707330004,0.0010355848470112313,0.030066630648627014,1.4209100065285132,0.00011225395732585719,0.0005007435282707494,1.4521244759814773,0.0018312595878394217,0.0024783101291769717,0.0018312595878394217,0.0024783101291769717,0.0006470505413375494,1.2559377128664391e-21,0.011583556986359347,0.0008006965239853116,0.0003557630984609094,0.0017765960883006399,0.001035591526083149,-0.00244042751150962,0.022390203594222,0.00178273972094456,0.00038524146375658146,0.00208863490457475,0.010500751424232464,0.010186058729171367,0.011583556986359347,0.0013974982571879784,0.0010355848470112313,0.011583549209569721,7.776789625463243e-09,6.679071917715593e-09,1.0355848470109998,5.1816968999299995,-0.00208863490457475,0.02417294331516656,0.0041922713037208,-0.0002516375670733,-0.010500751424232464
2013-10-10,12327.0,16797849296.51,4.613052298127e-09,1.47402759349e-06,0.0,0.002046681691022,344635002237.5,16182676582780.0,11592729656.82,0.001018090066954,276.1186346193,1.840659999458,0.0001170933365999,1.602183573123e-05,1.482177622775e-05,1.725658849612e-05,6.899313614484e-05,0.0001496899062904,0.00198127465075,0.0,1237369715.868,0.005141724433759,8.311805942571171e-14,4.0512483790182414e-22,2.046681691022,0.0,0.00147402759349,302663.9512884685,0.0014752111039605935,0.1170933365999,0.0010180900669532306,0.030266337859089706,1.4211857580886897,0.00010866757477889078,-1.749586332472e-05,1.4525788535895114,0.0004558512780549963,0.0004543772504615063,0.0004558512780549963,0.0004543772504615063,-1.47402759349e-06,1.6610625507682632e-21,0.012037934236820853,0.0009093640987642023,0.0003717849341921394,0.0017765960883006399,0.001018095662758429,-0.0025937035136728605,0.024436885285244,0.00178273972094456,0.00038671549135007146,0.00220572824117465,0.011975962528193058,0.010641910007226363,0.012037934236820853,0.0013960242295944884,0.0010180900669532306,0.01203792681760385,7.419217002910261e-09,5.595805198333956e-09,1.018090066954,5.141724433759,-0.00220572824117465,0.02621962500618856,0.002046681691022,-0.0001170933365999,-0.011975962528193058
2013-10-11,12328.0,16741557765.4,1.827054767559e-09,1.702103729593e-06,0.0,0.00229277695743,347297488605.5,16188575237190.0,11357406245.39,0.0009974236290397,276.2405698111,1.866310766043,9.126658881884e-05,1.896546275356e-05,2.54594921451e-05,1.052051571027e-05,3.63211182099e-05,0.0002047976339488,0.002256397399375,0.0,1238034196.654,0.005055524673552,3.291990572178378e-14,1.6045455778717839e-22,2.29277695743,0.0,0.001702103729593,301649.68946666666,0.0014702675013429853,0.09126658881884,0.000997423629039923,0.03050016121259683,1.421703786339239,0.00010872593043005613,-2.0667566483153003e-05,1.4533100971113058,0.000732944970997768,0.0007312428672681748,0.000732944970997768,0.0007312428672681748,-1.702103729593e-06,1.8215171085554415e-21,0.012769177104089029,0.0010180900291942585,0.0003907503969456994,0.0017765960883006399,0.000997428096275276,-0.0027984427077765604,0.026729662242674,0.00178273972094456,0.0003884175950796645,0.00229699482999349,0.013446230029536044,0.01137485497822413,0.012769177104089029,0.0013943221258648955,0.000997423629039923,0.012769170339398173,6.764690856086997e-09,4.467235353118257e-09,0.9974236290396999,5.055524673552,-0.00229699482999349,0.02851240196361856,0.00229277695743,-9.126658881884e-05,-0.013446230029536044
